Strain,Type,Rating,Effects,Flavor,Description,labels
BigBang,indica,4,RelaxedSleepyHappyEuphoricAroused,SweetOrangeLemon,Big Bang sprang into existence when Green House Seeds combined Skunk Northern Lights and El Nio into one indica that packs the power of the cosmos Sweet apple with accents of rose and violet bring a rich aromatic experience to this 80 indica whose sedating effects run most popularly with patients treating pain and sleeplessness Relief expands and spreads throughout the body calming stress both physical and mental Big Bang bursts into flowering finishing in 8 to 9 weeks indoors or around the end of September in outdoor grows,1
BigBud,indica,3,RelaxedEuphoricSleepyHappyTingly,EarthySkunkFlowery,Developed in the USA before being brought to the Netherlands in the 1980sto survive the War on Drugs Big Bud is a legendamong growers for its high yields in the garden Preserved to this day by Dutch breeder Sensi Seeds this indicaproduces massive buds with very few leaves unmatched by any other cannabis variety With an earthy andspicy aroma Big Bud deliversdeeply relaxingfullbody effects true to itsindica lineage,1
BigMac,indica,5,RelaxedArousedSleepyTalkativeTingly,SweetBerryBlueberry,Big Mac by Federation Seeds is an indicadominant strain with unique sativa fan leaves and an accelerated grow cycle This generous cut of Mikado and BC Big Bud develops quickly indoors growing upwards of six feet tall over its speedy seven week maturation The large plant produces a healthy yield of fruity midsized buds that reek of berry and citrus peel Big Macs effects elevate the mind and relax the body offering a creative bent to a satisfying sedation Enjoy Big Mac to stimulate the mind and the appetite while infusing the limbs with a relaxing weighted warmth ,1
BigSurHolyBud,sativa,4,RelaxedUpliftedFocusedEuphoricEnergetic,EarthyMentholPine,Big Sur Holy Bud is a sativa bred by Bodhi Seeds This plant has an indica structure with purplepink huedbuds that offer ablueberrymentholaroma and effects true to its sativa heritage This strain can be grown indoors and outdoors,0
BigWhite,indica,4,RelaxedUpliftedHappySleepyEuphoric,FloweryDieselSweet,Big White is an indicadominant hybrid that combines The White with Big Bud genetics Bred by La Plata Labs this strain began as an F1 hybrid created by Eclectic GeneticsLa Plata Labs then refined and stabilized the genetics through generations of breeding and phenotype selection This strain is known to produce large yields of sweet sugary buds that express themselves in a variety of colors and carry a unique maple syrup flavorThere is another known hybrid by the name of Big White It is bred by Breeders Choice and its lineage is a combination of Power Plant and Chronic genetics,1
BigWreck,indica,4,RelaxedTinglyEuphoricHappyUplifted,EarthyPungentNutty,Big Wreck is the ndicadominant cross of Big Bud and Trainwreck This chunky combination offers functional relaxation with an uplifted mental buzz that some might describe as creative This strain becomes very sedative with continuous use and may also stimulate your appetite,1
Biochem,indica,4,RelaxedEuphoricTinglySleepyHappy,SpicyHerbalEarthyCheese,Biochem is the sedating cross of Chemdawg 4 and Sensi Star This indicadominant strain offers patients a weighted relaxation with a gentle headiness that infuses the body with a soft and soothing haze Enjoy Biochem in the evening as its effects naturally sedate The aroma and taste are rich with notes of fuel citrus and herbaceous greenery while the appearance is bright green with a peppering of purple entangled in orange pistils,1
BirdsEye,sativa,5,HappyUpliftedEnergeticEuphoricRelaxed,Unknown,Birds Eye is a variety of Jack Herer grown by Canadian LP Tweed Inc Its flavors mirror the invigorating mix of sweet citrus and spicy pine that many associate with Jack Herer Birds Eye produces potent yet balanced effects that ease stress and body pains while allowing consumers to maintain focus and activity,0
Black84,indica,4,RelaxedSleepyHappyHungryEuphoric,PungentEarthyGrape,Black 84 also known as UW Black 84 is one of a few elusive strains that managed to escape from the medical cannabis garden at the University of Washington in the early and mid1980s Believed to descend from Afghani genetics Black 84s unknown indica lineage expresses itself as a stout dark and bushy plant The aroma is a complex mix of sweet tropical flavors that blend with a smooth nutty finish Its powerful relaxing effects on the body make Black 84 a great nighttime strain when combatting anxiety pain and insomnia,1
BlackAfghan,indica,4,RelaxedSleepyHungryHappyEuphoric,EarthyPinePepper,Black Afghan is a complex indicadominant strain with euphoric and relaxing effects The flowers develop as jade pine treeshaped colas with dark green nearly black sugar leaves Black Afghans terpene profile is an aromatic mixture of pepper earth and sage smothered in dark berries alluding to the strains cerebral and physical effects This strains heady uplifted buzz and relaxing munchieinducing body effects make it perfect for a lazy afternoon,1
BlackBubba,indica,4,HappyRelaxedSleepyTinglyEuphoric,EarthyFloweryPine,Black Bubba is an indicadominant cross of Bubba Kush and Black Russian The resulting buds carry a sweet aroma with subtle fruit notes that produce earthy flavors of hash and pine The relaxing indica effects calm body pains stimulate the appetite and are known to sedate the body into a state of couchlock,1
BlackCherryOg,indica,4,RelaxedUpliftedHappyGigglyEuphoric,BerrySweetEarthy,Black Cherry OG is an indica strain bred by Grand Daddy Purple that combines Kens OG with an unknown Granddaddy Purple hybrid Dense buds take on an intense purple hue at the end of Black Cherry OGs maturation and develop a sweet aroma like fruity tea Relaxing fullbody effects take over ridding you of pain and insomnia while lifting the mood,1
BlackDiamond,indica,4,RelaxedHappyEuphoricUpliftedHungry,EarthyWoodyBerry,Black Diamond is a Northern California strain ideal for patients who need strong medication but still want to be active and sociable A cross between Blackberry and Diamond OG its flowers have a glittery trichome covering and purple coloring that make it a beautiful gem to look at The strains aroma is musky and earthy almost like a deep red wine Black Diamond is known to cause fits of giggles and is a great strain for hanging out with friends or catching up on TV shows at home This strain tends to make consumersextremely hungry making it a good choice for those looking to increase their appetite just make sure you have some snacks on hand,1
BlackDiesel,sativa,4,RelaxedHappyHungryTalkativeEuphoric,DieselPungentEarthy,This infamous sativa strain is the proud winner of multiple Cannabis Cups solidifying its regal position within the cannabis world Bred usingthe genetics ofNYC Diesel Black Diesels dense purple flowers have not only an impressive appearance but also an intense favorable pungence with sour and fruity undertones Bred by Advanced Seeds this plant struggles with mold resistance but compensates with a high yield and THC content Although Black Diesel produces some traditionally indica effects patients often find this strain to be wellbalanced beginning with an intense sativa onset followed by a heavylidded indica lull,0
BlackDomina,indica,4,RelaxedEuphoricHappySleepyUplifted,PepperPineWoody,Working with four prime examples of Cannabis Afghanica led Sensi Seeds to blend the worlds finest indica genetics into a rapidflowering crystalcoated hybrid Black Domina Combining desirable features from the Northern Lights Ortega Hash Plant and Afghani SAhas made this strain equally suited to the needs of commercial growers connoisseursand firsttime cultivators Black Domina delivers a spicypepper aroma alongside overwhelming relaxation and sleepiness making this strainideal for late night use,1
BlackIce,indica,4,RelaxedSleepyHappyHungryTingly,EarthyCitrusSweet,A cross between hybrids Black Domina and White Widow Black Ice is an indicadominant hybrid that is a reliable sedative Although this flower has a pleasant aroma its potency sets it apart from the rest A product of Moon Seeds Black Ice offers a high yield with an impressive THC content of up to 24 making this strain optimal for pain and insomnia relief,1
BlackLabelKush,indica,4,EuphoricRelaxedSleepyUpliftedFocused,WoodyBerryEarthy,This lesserknown strain is a classic indica that provides patients with reliable and lengthy pain and stress relief The effects transition from light and floaty to the heavy sedation typical of indica plants Black Label Kush has a strong pungence bordering on the harsh side but provides a rich medicating experience,1
BlackLarryBird,indica,4,TinglyUpliftedCreativeEuphoricFocused,,Black Larry Bird by Mr Macks Snacks is a special cross of Mr Macks Black Domina and the powerhouse Gelato 33 This strain hits with an intensely heady buzz on the onset that smooths out into a deep relaxing body high If you have plans or things to do this strain is not for you The comfortable couchlock is a great option for gamers cinephiles and patients suffering from insomnia lack of appetite and anxiety,1
BlackLimeSpecialReserve,indica,4,RelaxedHappyEuphoricTinglySleepy,LimePepperCitrus,From Aficionado Seeds comes Black Lime Special Reserve an indica strain that descends from Woodman Canyon Oil Can Lime Afghani Northern Lights Purple Kush and Chemdawg Special Reserve Flavors of pine lemon and black pepper are ushered in alongside uplifting euphoria leaving you feeling tingly and relaxed,1
BlackMagicKush,indica,4,HappyRelaxedSleepyHungryTalkative,EarthyBerryWoody,Black Magic Kush also known simply as Black Magic is an indicadominant strain with mysterious and arcane genetics With jade green foliage and bright orange pistils Black Magic Kush looks nearly as good as it tastes Exhibiting a terpene profile soaked in sweetness berry and herbaceous overtones Black Magic Kush delivers a pleasurable variety of flavors aromas and effects that help nullify stress and encourage rest Utilize this strain at the end of the day to make the most of its sleepinducing qualities  ,1
BlackMamba,indica,4,HappyRelaxedEuphoricUpliftedTalkative,SweetGrapeWoody,Black Mamba is named after the deadly African snake or perhaps the vengeful bride from the movie Kill Bill so its no surprise that this strain is known for being strong it might just knock less experienced users into nap time The genetics of this strain are unknown but its characteristics seem to support the theory that it is a descendent of Granddaddy Purple and maybeBlack Domina These plants produce dark green to purple leaves but its the flowers that appear after about 8 weeks that really give a hint to its supposed heritage Dark green and dense these hard nugs have a strong perfumey aroma and a distinctly sweet grape taste that is reminiscent of GDP Many users report an upbeat feeling that mellows into a state of deep relaxation Touted for its longlasting effects this Black Mamba is one to curl up with not run away from,1
BlackRoses,indica,4,RelaxedSleepyUpliftedEuphoricFocused,,Black Roses by Red Dirt Ridge Genetics is a heavy onehitterquitter indica designed for the seasoned cannabis consumer This cross of Grand Reserve Headband and Early Girl reeks of sweet citrus and funky fuel intoxicating the sense even before combustion Its effects lay into the body evaporating stress from the mind while cementing the consumer to the couch This heavy indica is a perfect endoftheday strain to wash away stress and worries or to frontload sleep with sedative cannabinoids,1
BlackRussian,indica,4,RelaxedSleepyUpliftedHappyHungry,CitrusBerryEarthy,Black Russian is an 8020 indicadominant strain bred by Delicious Seeds who created this strain by crossing a Black Domina mother with White Russian Notes of mango and citrus collide with lemon candy to create a medley of sweettropical aromas that burst from Black Russians compact buds This indica is known for her potency and endurance making Black Russian the perfect choice for either patients seeking longlasting symptom relief or anyone in need of deep relaxation of both mind and body,1
BlackberryBubble,indica,4,RelaxedHappyEuphoricUpliftedCreative,BerryBlueberrySkunk,Blackberry Bubble is exclusively produced by Arizona Natural Selections and is the delectable cross of Sour Bubble and Blackberry Kush This 8020 indicadominant strain offers pain relief and mental ease without anchoring the consumer to the couch Though with continued use this strain can be quite sedative Expect flavors of bubble gum and blackberry and a euphoric mental state that lingers,1
BlackberryCream,indica,4,RelaxedHappyUpliftedSleepyEuphoric,BerrySweetVanilla,Blackberry Cream from Exotic Genetix combines the sweet berry terpenes of Blackberry Kush with the smooth creamy notes of Cookies and Cream This 70 indica hybrid produces THC levels up to 25 above average yields and is an excellent choice for hash making,1
BlackberryDiesel,sativa,4,HappyEnergeticRelaxedEuphoricTalkative,DieselSpicyHerbalPungent,Blackberry Diesel is an 8020 sativadominant cross between East Coast Sour Diesel and Plushberry This sativa mainly takes after its Sour Diesel parent inheriting that signature fuel aroma and potently blissful cerebral effects Its tangy flavor is sweetened by the ripe berry flavors of its Plushberry parent Tinted with lavender and purple hues Blackberry Diesel is almost as pleasant to the eyes as it is to the nose,0
BlackberryHashplant,indica,3,EuphoricSleepyUpliftedEnergeticHappy,BerrySweetEarthy,Blackberry Hashplant is an indica strain thats a harmony of Blackberry Kush and Hashplant Haze It delivers wellbalanced although not longlasting effects whose potency varies among consumers Blackberry Hashplants light green flowers are on the smaller side with a dry earthy aroma This plants versatility makes it an excellent candidate for a variety of cerebral and physical medical purposes depending upon the patients ailments and response,1
BlackberryHaze,sativa,4,HappyRelaxedUpliftedHungryFocused,BerrySweetSpicyHerbal,Blackberry Haze developed by Nebu Hybridzis a sativadominant hybrid cross betweenBlackberry and Lime Haze Unlike itssibling strainBlackberry Lime Haze this phenotype takes afterits Blackberry parent with twisting purple calyxes and a sweet berry aroma Notes of violetspice and cocoacan also be detected in this sativas frostcovered buds For those days when productivity is paramount Blackberry Haze offers clear unencumbered relief that will typically leave your motivation in tact,0
BlackberryKush,indica,4,RelaxedSleepyHappyEuphoricHungry,BerrySweetEarthy,This mostly indica strain is a mix of Afghani and Blackberry strains and has beautiful dark purple buds with orange hairs Plants will flower at 78 weeks and are not particularly high yielders but the dense hard nugs have crystals throughout Blackberry Kush tends to have a hashy jet fuel smell and taste that is balanced by sweet berries Blackberry Kush is often recommended for the treatment of pain thanks to its strong indica body effects,1
BlackberryLimeHaze,sativa,4,HappyUpliftedEuphoricTalkativeFocused,BerrySweetLime,Blackberry Lime Haze is a 90 sativa cross between Blackberry and Lime Haze that induces highenergy clearheaded effects Sweet lime and peppery spice overlay a subtle mix of honey berry and floral notes in a show of Blackberry Lime Hazes rich terpene profile Functional creativity coupled with a happy mood make this strain conducive to productive afternoons or an active weekend with friends Blackberry Lime Haze is a potent medicine for a variety of ailments some of which include depression headaches fibromyalgia spinal cord injury multiple sclerosis fatigue pain and spasms Despite its sativaleaning genetics Blackberry Lime Haze grows into dense chunky buds with a heavy coat of crystal trichomes Though similar to Blackberry Haze this phenotype leans more toward its Lime Haze parent in appearance and aroma,0
BlackberryRhino,indica,4,RelaxedHappyCreativeHungrySleepy,BerrySweetSpicyHerbal,Blackberry Rhino also called Blackberry White is a berryflavored indica strain that combines Blackberry and White Rhino Sometimes our indicas surprise us with uplifting clearheaded effects and you can count Blackberry Rhino among those subtly invigorating strains Headtotoe relaxation pours in over time bringing relief to patients with pain insomnia appetite loss and nausea,1
BlackberryXBlueberry,indica,4,RelaxedHappyUpliftedEuphoricCreative,BerryEarthyBlueberry,This dense crystalcovered indica strain by LivWell is a mix of Blackberry and DJ Shorts Blueberry Blackberry x Blueberry tends to have a hashy Afghani aroma and flavor balanced by sweet berries and skunk Thanks to its strong indica body effects this strain is often recommended for treatment of pain,1
Blackwater,indica,4,RelaxedSleepyEuphoricHappyHungry,EarthyBerryGrape,Blackwater is an indica strain typically bred from Mendo Purps and San Fernando Valley OG Kush Its round compact buds take on a deep purple color and a sweet grape aroma that blends with subtle undertones of lemon and pine What begins as a mellow and euphoric cerebral experience melts down to the rest of the body in a headtotoe euphoric calm that relieves stress and anxiety Patients have also reported its success in treating pain appetite loss and multiple sclerosis This strain is recommended for latenight consumption as it can cause mental cloudiness and detract from productivity Blackwater has a flowering time of 8 to 10 weeks and produces moderate yields in indoor outdoor and greenhouse gardens The 2014 Los Angeles Cannabis Cup awarded Blackwater 3rd place in the indica category,1
Blaze,sativa,4,EuphoricEnergeticTalkativeCreativeAroused,BlueberrySweetBerry,British Columbia Seed Company crossed the indica Blueberry with Haze in order to tame this lanky longflowering Blaze This large sativadominant plant combines the soaring cerebral high and sweetspicy smell of Haze while getting shorter flowering times and a distinct driedgrape aroma from Blueberry Blaze is closely related to Blueberry Haze and Blue Dream,0
BloosKloos,indica,4,CreativeRelaxedHappyEuphoricFocused,FloweryEarthyBerry,Bloos Kloos is a playful indica with a carefree buzz that encourages laughter This threeway cross of Larry OG Blueberry and Northern Lights imbues Bloos with earthy and fruity terpenes that turn sweet when consumed Created by Mr Mack out of Las Vegas this strain leaves the mind clear and the body free of aches and pains,1
BloodOrangeKush,indica,5,SleepyUpliftedEuphoricHappyCreative,DieselCitrusOrange,Blood Orange Kush is an indicadominant cross of as of now the unknown or unnamed genetics Aota x Pinecracker and an unnamed OG This plant has a bushy structure that doesnt yield much but the dense trichomecovered nugs are prized for their bright terpene profile and heavy effects Blood Orange Kush emits a bouquet of gas and tart citrus that fills the room and coats the palate Its uplifting mental buzz and relaxing physical effects make Blood Orange Kush a solid option for consumers looking to abate minor pain and elevate mood,1
Blucifer,sativa,4,HappyUpliftedRelaxedTalkativeFocused,BlueberrySpicyHerbalBerry,Created in 2013 by Terraform Genetics who crossed Conspiracy Kush and Blue Dream Blucifer is a blueish purple sativa strain that radiates with the smell of blueberries and cream with a spicy finish These frosty buds are meant to leave you feeling productive and motivated making it a perfect choice for inspiring that longoverdue nature walk Blucifer works well in indoor gardens with minimal direct sunlight and it should finish flowering in 55 to 60 days,0
BlueAfghani,indica,4,RelaxedHappyEuphoricUpliftedSleepy,BlueberryWoodyPungent,Bred by Jordan of the Islands in Canada Blue Afghani is an indicadominant strain that combines genetics from Blueberry and Afghani Its stout plants produce dense resinous buds that fill your nose with a sweet and spicy berry aroma Next come the powerful fullbody effects that keep you anchored in relaxation while pain anxiety and stress float away,1
BlueAlien,indica,4,RelaxedHappyEuphoricUpliftedHungry,BlueberryBerryCitrus,Blue Alien is a powerful sweetsmelling indica strain that combines genetics from Blueberry and Alien Kush Like most Blueberry hybrids Blue Alien takes on a sweet berry aroma that introduces its dreamy euphoria and fullbody calm Because its effects tend toward the sleepier side of the spectrum most consumers prefer Blue Alien in the evening and when pursuing a good nights sleep,1
BlueBastard,indica,3,EuphoricHappySleepyUpliftedCreative,BerryPine,The descendant of indicas DJ Short Blueberry and God Bud in addition to White family lineage this indicadominant hybrid is best known for its pungent blueberry aroma Thanks to its hybrid makeup the indica physical effects are strong without inducing sedation making this strain appropriate for day or nighttime use Best described as relaxing Blue Bastard may be just the bud to take the edge off,1
BlueBayou,sativa,2,GigglyUpliftedCreativeHappySleepy,Sweet,Blue Bayou can only be described as a comprehensive psychoactive experience A true sativa this peppy flower is optimal for a variety of cerebral ailments patients report mood elevation and increased focus in particular This strain may be suitable for a variety of applications including creative pursuits focused work or introspective exploration,0
BlueBlood,indica,4,RelaxedSleepyHungryTalkativeFocused,SweetBlueberryEarthy,Blue Blood from breeder Medicann is an indicadominant cross of OG Kush and Blueberry It carries on the potent legacy of OG Kush genetics and adds a sweet berry flavor to the pine and diesel undertones Some Blue Blood phenotypes have proven to show a tendency towards higher CBD levels which adds to the already relaxing nature of this strain,1
BlueBuddha,indica,4,RelaxedEuphoricSleepyUpliftedHappy,BlueberryCitrusCheese,Blue Buddha is an indicadominant strain with heavy body effects Created by crossing Oregon Blueberry and Buddhas Sister this strains bouquet is thick with pepper and fruity terpenes The flavor is delicate with notes of tea and sweet berries leaving herbaceous sweetness on the palate Blue Buddhas effects are initially uplifting and cerebral but quickly creep onto the body weighing the consumer to the couch and stoning the mind This strain caters to consumers seeking to curb ADD ADHD and chronic stress allowing the consumer to forget their problems and mellow out   ,1
BlueCheese,indica,4,RelaxedHappyEuphoricSleepyHungry,BlueCheeseCheeseBlueberry,Blue Cheese is an indica cross created by crossing a Blueberry male with an original UK Cheesea Skunk 1 phenotype female The sweet and savory smells of berry and blue cheese combine to create a creamy unique flavor reminiscent of the originalCheeseThe heavy indica effects will help you feel relaxed at the end of the day and can provide relief for muscle spasms pain and stress,1
BlueDiamond,indica,4,EuphoricRelaxedHappySleepyTalkative,SweetTreeFruitPineapple,Blue Diamond is a mostly indica strain bred by BioQueen genetics Although its exact parentage is unknown Blue Diamond descends from an indicadominant hybrid and inherits a hashy earthy aroma It finishes flowering quickly rewarding growers with yields of large chunky buds after eight weeks,1
BlueDot,sativa,4,EnergeticHappyRelaxedFocusedUplifted,EarthyPungentBerry,Blue Dot also known as MGB or Medical Grade Budis asativadominant strainoriginally bredin Sonoma Californiaby a medical patient Blue Dot is a genetic blend of Leda Uno Northern Lights and Haze Its resinous buds offer a sweethashyflavor profile and can be expected to finish flowering in 9 to 10 weeks,0
BlueDynamite,indica,4,RelaxedEuphoricFocusedCreativeSleepy,BerrySpicyHerbalPine,Blue Dynamite bred by Next Generation Seeds in Canada is an indicadominant strain that provides heavy mindandbody relaxation alongside a fruity hashy flavor This powerhouse indica was bred from a BC Grapefruit clone known as Dynamite and an AfghaniBlueberry hybrid called Avalon Combining the flavorful qualities of Dynamite with the resinous potential Avalon enables we are left with a potent strain that can budge even the most stubborn cases of pain nausea and sleeplessness High Times recognized Blue Dynamite among its Top 10 Strains of 2007 solidifying a reputation that keeps this strain firmly set in the cannabis market,1
BlueGod,indica,4,RelaxedHappySleepyEuphoricHungry,BerrySweetBlueberry,Blue God bred by Jordan of the Islands in Canada is a powerful indica mothered by God Bud and Blueberry Fulfilling all of our indica expectations Blue God produces crushing fullbody effects ideal for nighttime treatment of pain and sleep disorders With age Blue God develops a sweet berry aroma and deep purple leaves freckled in frosty resin Cultivators of this stout indica suggest growing Blue God as a multibranch plant in soil with a flowering period between 55 and 60 days,1
BlueKnight,indica,4,RelaxedUpliftedHungryHappyFocused,BerryBlueberrySweet,Blue Knight is a rare indicadominant strain with a noble lineage that stems from Blueberry and Kryptonite genetics Hues of royal purple twist with deep blues and vivid greens in a visual display as multifaceted as its berry vanilla aroma Earthy woody and blueberry flavors are unleashed on the exhale and the relaxing fullbody effects that follow are often enough to soothe pain and stimulate the appetite ,1
BlueKripple,indica,3,SleepyEuphoricHungryRelaxedTingly,EarthyGrape,Blue Kripple is an indicadominant hybrid bred by Dr Krippling This strain brings together the relaxing therapeutic properties of Medicine Man and Blue Rhino while the influence of Big Bud enhances Blue Kripple with dense oversized colas and large yields The calming indica effects cradle you with fullbody relaxation and encourage nighttime use for stress pain and insomnia,1
BlueLights,indica,4,RelaxedEuphoricHappyTinglyUplifted,BlueberryEarthyBerry,The fusion of Blueberryand Northern Lights Blue Lights isan indicastrain with a noteworthy THC content This flower emits a blueberry pungency thanks to the Blueberryinfluence and provides a combination of sedative and euphoric longlasting effects Although fitting for day or nighttime use this strain may be the perfect choice for end of the day stress andor pain relief,1
BlueMagic,sativa,4,RelaxedFocusedArousedSleepyEuphoric,CitrusLemonTropical,Blue Magic is an upbeat sativadominant strain bred from the famous Blue Dream Its highenergy effects are prefaced by creamy fruity flavors reminiscent of its Blueberry ancestry Sativa enthusiasts will appreciate the balance of potency and clarity delivered by Blue Magic whose euphoria offers functionality and focus despite an impressive THC profile While its initial punch is quick to hit Blue Magics effects taper down gently and ease you into longlasting relaxation that extends from the physical exterior to the deep recesses of your mind,0
BlueMonster,indica,4,RelaxedHungryTalkativeSleepyHappy,BerrySweetDiesel,Blue Monster is a powerful combination of G13 Blueberry Northern Lights 5 and a Mexican landrace strain Bred by Goldenseed Blue Monster combines a sweet mix of flavors with strong indica effects Its complex aroma of berries and tropical fruits exposes the influence of Blueberry and G13 genetics When grown to its full potential the forceful relaxation of Blue Monster can overwhelm novices with its immediate body sedation and commanding cerebral effects This monster indica is sure to scare away sleepless nights and body pains,1
BlueMoonshine,indica,4,HappyRelaxedEuphoricSleepyFocused,EarthyBerryWoody,A DJ Short creation Blue Moonshine is a very potent blueberry indica strain that provides a nice body high As a true indica Blue Moonshine plants perform as expected staying short to medium height and usually flowering by 8 weeks While growing and after its harvested these plants have a sharp and fruity smell that brings to mind fermentation thus the name The high will hit you like good homebrew,1
BlueMountainFire,sativa,4,EuphoricRelaxedTinglyUpliftedHappy,FloweryEarthyTar,A sativa strain with Jamaican roots Blue Mountain Fire is an invigorating upbeat variety that coerces creativity and happy mindsets When grown outdoors Blue Mountain Fire can tower with impressive heights and yields Its highenergy buzz is perfect for motivating the mind and fighting fatigue but those prone to anxiety may feel overwhelmed by the fastpaced euphoria this sativa has to offer,0
BlueMystic,indica,4,HappyRelaxedGigglyEnergeticSleepy,BlueberryEarthySweet,Blue Mystic is as mysterious as its name indicates with unknown genetics that definitely contain some Blueberry and possibly some Skunk or Northern Lights These plants flower between 7 to 9 weeks with light blue coloring that can make the trichomecovered buds look almost gray It does have the distinctive Blueberry aroma but its fairly subtle compared to other strains making it a good choice for growers or patients who need discretion ,1
BlueOx,indica,4,SleepyRelaxedHungryTalkativeUplifted,BerryFloweryBlueberry,Blue Ox by Rare Dankness Seeds is a berryrich version of their Stone Mountain strain By combining classic Blueberry with The OX Rare Dankness created a sweet wellrounded strain with aromas of blueberry coffee chocolate and earthy spice The dense resinous buds express blue and purple foliage that looks nearly as good as it smells Blue Ox has extremely strong indica effects that relax the body to the point of sedation Use Blue Ox to abate postchemotherapy symptoms like nausea appetite loss and physical discomfort ,1
BluePower,indica,4,RelaxedTinglyHappyUpliftedEuphoric,BerryEarthySweet,The indicadominant Blue Power is one of Sin City Seeds signature strains bred from Sour Double Master Kush The White and Blue Moonshine genetics Cherished for its fragrant buds Blue Power offers a sweet fusion of lemon and berry flavors with an earthy finish It should be noted that another genetic variation released by Vision Seeds crosses Blueberry White Widow and Skunk 1 This rendition is described as a happy and uplifting indica that helps focus the mind while fighting stress,1
BlueSatellite,sativa,3,UpliftedHappyEuphoricTalkativeRelaxed,SweetBlueberryCitrus,Blue Satellite the sativa offspring of Blueberry Sativa and Shishkaberry is a strongly psychoactive strain with longlasting effects The dense conic buds carry a sour scent redolent of ammonia and induce powerful cerebral effects including euphoria creativity and stress relief Its typically high THC content makes Blue Satellite a preferred daytime strain for appetite loss nausea glaucoma and pain,0
BlueSteel,indica,4,UpliftedRelaxedEuphoricHappyCreative,BlueberryPungentEarthy,Blue Steel by Exotic Genetix is an indicadominant strain with fruitforward flavors Created by crossing the pungent OG Blueberry and The Cube a Starfighter F3 phenotype bred inhouse Exotic Genetix has outdone itself with this subtly sedative crowdpleaser The flavor and aroma are thick with the scent of blueberries and the nugs are smothered in a layer of frosty trichomes Enjoy this strain throughout the day to boost mood and appetite while promoting a creative headspace,1
BlueZkittlez,indica,4,ArousedCreativeHappyRelaxedEuphoric,BerrySweetFlowery,Blue Zkittlez by Dying Breed Seeds is an indicadominant cross of Blue Diamond and Zkittlez This odoriferous flower offers a terpene profile of tart citrus sweet earth and wildflowers The physical effects of this strain are mellow and moderately sedating igniting appetite while weighing on the limbs Its strong physical effects and uplifting mental high make it a perfect endoftheday strain and a nice match for folks contending with stress restlessness and pain,1
BlueZombie,indica,4,RelaxedEuphoricHungrySleepyHappy,PungentEarthyPepper,Blue Zombie not to be confused with the Zombie OG strain lineage is a full indica that boasts medicalgrade potency and effects With notes of fresh ground coffee fuel and skunky grape this strain packs a surprising diverse array of terpenes Wrapping the mind in an uplifting mood enhancing haze Blue Zombie creeps onto the body with numbness and sedation within the first half hour Patients suffering from chronic pain may benefit greatly from this particular cut,1
Blueberry,indica,4,RelaxedHappyEuphoricSleepyUplifted,BlueberryBerrySweet,A true AList cannabis strain Blueberrys legendary status soared to new heights after claiming the High Times Cannabis Cup 2000 for Best Indica The long history of the strain is traced back to the late 1970s when American breeder DJ Short was working with a variety of exotic landrace strains However throughout the decades of Blueberrys cultivation the genetics have been passed around due in large part to DJ Short working with multiple seed banks and breeders The sweet flavors of fresh blueberries combine with relaxing effects to produce a longlasting sense of euphoria Many medical patients appreciate Blueberry for its ability to suppress pain and relieve stress while connoisseurs and growers admire the strain for its colorful hues and high THC content,1
BlueberryBlast,sativa,4,HappyUpliftedEuphoricEnergeticTalkative,BlueberryBerrySweet,A mostly sativa hybrid from Snow High Seeds Blueberry Blast is a the result of the famous BlueberryHaze genetics of Blue Dream being pollinated by a Johnny Blaze male These flowers smell strongly of blueberry musk and sweet candy and taste like cedar and berries when smoked or vaped A definite sativa effect is to be expected with soaring trippy highs that gradually fade into relaxation,0
BlueberryDream,sativa,4,UpliftedSleepyHappyRelaxedFocused,SweetFloweryPine,From Leafs by Snoop Blueberry Dream is a sativa strain with undisclosed genetics Likely similar to the famous Blue Dream hybrid Blueberry Dream is said to bring out your creativity while giving the mood a boost all with the sweet flavor of ripe blueberries With a typical THC content of about 14 Blueberry Dream is a good choice for beginners looking for a less jarring psychoactive experience,0
BlueberryKush,indica,4,RelaxedHappyEuphoricSleepyUplifted,BlueberryBerrySweet,Blueberry Kush is a strong indica strain that slowly brings on a heavy body sensation helping patients forget their pain and relax Originally from Oregon this strain is a hybridofBlueberryandOG Kush which is evident in its fresh berry aroma with notes of earthy herbalness This indica is best for evenings or before bed,1
BlueberrySkunk,indica,4,EuphoricRelaxedUpliftedCreativeHappy,BlueberrySkunkBerry,Blueberry Skunk is an indicadominant hybrid of Blueberry and Skunk 1with definite sativa tendencies Skunk 1s vigor yield and reliability are preserved and Blueberry brings to the mix its heavy resin production and sweet berry flavors blended with an earthy skunky muskDuring flowering most plants double or triple their vegetated height with fat resincrusted buds closing the gaps between internodes The effects are led by a longlasting euphoric buzz that generates giggles as well as the munchies,1
BlueberrySpaceCake,indica,5,EuphoricRelaxedTinglyHappyGiggly,TropicalBerryBlueberry,Blueberry Space Cake by Cresco Labs is the indicadominant offspring of Outer Space and Alien Dutchess with its Alien OG and Trinity lineage bearing the strongest influence on its effects and morphology It offers heavier than average Kushforward effects that include cerebral euphoria and relaxed weighted limbs This strain exhibits a strong berry and citrus aroma and could be utilized for stress relief minor physical pain and restlessness,1
